county,perc_not_secure_state,taxonomic_subgroup,n
Broome,14.093959731543624,Finches and Crossbills,4
Broome,14.093959731543624,Flycatchers,8
Broome,14.093959731543624,Gnatcatchers,1
Broome,14.093959731543624,Grebes,1
Broome,14.093959731543624,"Grouse, Pheasants, Turkeys",4
Broome,14.093959731543624,"Gulls, Terns, Plovers, Shorebirds",4
Broome,14.093959731543624,"Hawks, Falcons, Eagles, Vultures",13
Broome,14.093959731543624,"Herons, Bitterns, Egrets, Pelicans",5
Broome,14.093959731543624,Hummingbirds and Swifts,2
Broome,14.093959731543624,Kingfishers,1
Broome,14.093959731543624,Kinglets,2
Broome,14.093959731543624,Mockingbirds and Thrashers,3
Broome,14.093959731543624,Nightbirds,1
Broome,14.093959731543624,Nuthatches,2
Broome,14.093959731543624,Old World Sparrows,1
Broome,14.093959731543624,Owls,4
Broome,14.093959731543624,Pigeons and Doves,2
Broome,14.093959731543624,"Rails, Coots and Cranes",3
Broome,14.093959731543624,Sparrows and Towhees,11
Broome,14.093959731543624,Starlings,1
Broome,14.093959731543624,Swallows,6
Broome,14.093959731543624,Thrushes and Bluebirds,5
Broome,14.093959731543624,Vireos,5
Broome,14.093959731543624,Waxwings,1
Broome,14.093959731543624,Wood-Warblers,28
Broome,14.093959731543624,Woodpeckers,7
Broome,14.093959731543624,Wrens,4
Broome,14.093959731543624,Larks,1
Cattaraugus,14.000000000000002,All,158
Cattaraugus,14.000000000000002,Blackbirds and Orioles,7
Cattaraugus,14.000000000000002,Cardinals and Buntings,4
Cattaraugus,14.000000000000002,Chickadees and Titmice,2
Cattaraugus,14.000000000000002,Creepers,1
Cattaraugus,14.000000000000002,Crows and Jays,3
Cattaraugus,14.000000000000002,Cuckoos,2
Cattaraugus,14.000000000000002,"Ducks, Geese, Waterfowl",8
Cattaraugus,14.000000000000002,Finches and Crossbills,4
Cattaraugus,14.000000000000002,Flycatchers,8
Cattaraugus,14.000000000000002,Gnatcatchers,1
Cattaraugus,14.000000000000002,Grebes,1
Cattaraugus,14.000000000000002,"Grouse, Pheasants, Turkeys",4
Cattaraugus,14.000000000000002,"Gulls, Terns, Plovers, Shorebirds",5
Cattaraugus,14.000000000000002,"Hawks, Falcons, Eagles, Vultures",12
Cattaraugus,14.000000000000002,"Herons, Bitterns, Egrets, Pelicans",4
Cattaraugus,14.000000000000002,Hummingbirds and Swifts,2
Cattaraugus,14.000000000000002,Kingfishers,1
Cattaraugus,14.000000000000002,Kinglets,1
Cattaraugus,14.000000000000002,Mockingbirds and Thrashers,3
Cattaraugus,14.000000000000002,Nightbirds,1
Cattaraugus,14.000000000000002,Nuthatches,2
Cattaraugus,14.000000000000002,Old World Sparrows,1
Cattaraugus,14.000000000000002,Owls,4
Cattaraugus,14.000000000000002,Pigeons and Doves,2
Cattaraugus,14.000000000000002,"Rails, Coots and Cranes",3
Cattaraugus,14.000000000000002,Sparrows and Towhees,11
Cattaraugus,14.000000000000002,Starlings,1
Cattaraugus,14.000000000000002,Swallows,6
Cattaraugus,14.000000000000002,Thrushes and Bluebirds,6
Cattaraugus,14.000000000000002,Vireos,5
Cattaraugus,14.000000000000002,Waxwings,1
Cattaraugus,14.000000000000002,Wood-Warblers,30
Cattaraugus,14.000000000000002,Woodpeckers,7
Cattaraugus,14.000000000000002,Wrens,4
Cattaraugus,14.000000000000002,Larks,1
Cayuga,21.686746987951807,All,174
Cayuga,21.686746987951807,Blackbirds and Orioles,7
Cayuga,21.686746987951807,Cardinals and Buntings,4
Cayuga,21.686746987951807,Chickadees and Titmice,2
Cayuga,21.686746987951807,Cormorants,1
Cayuga,21.686746987951807,Creepers,1
Cayuga,21.686746987951807,Crows and Jays,4
Cayuga,21.686746987951807,Cuckoos,2
Cayuga,21.686746987951807,"Ducks, Geese, Waterfowl",13
Cayuga,21.686746987951807,Finches and Crossbills,7
Cayuga,21.686746987951807,Flycatchers,8
Cayuga,21.686746987951807,Gnatcatchers,1
Cayuga,21.686746987951807,Grebes,1
Cayuga,21.686746987951807,"Grouse, Pheasants, Turkeys",4
Cayuga,21.686746987951807,"Gulls, Terns, Plovers, Shorebirds",6
Cayuga,21.686746987951807,"Hawks, Falcons, Eagles, Vultures",12
Cayuga,21.686746987951807,"Herons, Bitterns, Egrets, Pelicans",6
Cayuga,21.686746987951807,Hummingbirds and Swifts,2
Cayuga,21.686746987951807,Kingfishers,1
Cayuga,21.686746987951807,Kinglets,1
Cayuga,21.686746987951807,Mockingbirds and Thrashers,3
Cayuga,21.686746987951807,Nightbirds,1
Cayuga,21.686746987951807,Nuthatches,2
Cayuga,21.686746987951807,Old World Sparrows,1
Cayuga,21.686746987951807,Owls,7
Cayuga,21.686746987951807,Pigeons and Doves,2
Cayuga,21.686746987951807,"Rails, Coots and Cranes",6
Cayuga,21.686746987951807,Sparrows and Towhees,11
Cayuga,21.686746987951807,Starlings,1
Cayuga,21.686746987951807,Swallows,6
Cayuga,21.686746987951807,Thrushes and Bluebirds,5
Cayuga,21.686746987951807,Vireos,4
Cayuga,21.686746987951807,Waxwings,1
Cayuga,21.686746987951807,Wood-Warblers,27
Cayuga,21.686746987951807,Woodpeckers,7
Cayuga,21.686746987951807,Wrens,5
Cayuga,21.686746987951807,Larks,1
Cayuga,21.686746987951807,Loons,1
Chautauqua,14.838709677419354,All,165
Chautauqua,14.838709677419354,Blackbirds and Orioles,7
Chautauqua,14.838709677419354,Cardinals and Buntings,5
Chautauqua,14.838709677419354,Chickadees and Titmice,2
Chautauqua,14.838709677419354,Creepers,1
Chautauqua,14.838709677419354,Crows and Jays,3
Chautauqua,14.838709677419354,Cuckoos,2
Chautauqua,14.838709677419354,"Ducks, Geese, Waterfowl",11
Chautauqua,14.838709677419354,Finches and Crossbills,5
Chautauqua,14.838709677419354,Flycatchers,9
Chautauqua,14.838709677419354,Gnatcatchers,1
Chautauqua,14.838709677419354,Grebes,1
Chautauqua,14.838709677419354,"Grouse, Pheasants, Turkeys",4
Chautauqua,14.838709677419354,"Gulls, Terns, Plovers, Shorebirds",8
Chautauqua,14.838709677419354,"Hawks, Falcons, Eagles, Vultures",11
Chautauqua,14.838709677419354,"Herons, Bitterns, Egrets, Pelicans",4
Chautauqua,14.838709677419354,Hummingbirds and Swifts,2
Chautauqua,14.838709677419354,Kingfishers,1
Chautauqua,14.838709677419354,Kinglets,1
Chautauqua,14.838709677419354,Mockingbirds and Thrashers,3
Chautauqua,14.838709677419354,Nightbirds,1
Chautauqua,14.838709677419354,Nuthatches,2
Chautauqua,14.838709677419354,Old World Sparrows,1
Chautauqua,14.838709677419354,Owls,5
Chautauqua,14.838709677419354,Pigeons and Doves,2
Chautauqua,14.838709677419354,"Rails, Coots and Cranes",4
Chautauqua,14.838709677419354,Sparrows and Towhees,11
Chautauqua,14.838709677419354,Starlings,1
Chautauqua,14.838709677419354,Swallows,6
Chautauqua,14.838709677419354,Thrushes and Bluebirds,6
Chautauqua,14.838709677419354,Vireos,5
Chautauqua,14.838709677419354,Waxwings,1
Chautauqua,14.838709677419354,Wood-Warblers,25
Chautauqua,14.838709677419354,Woodpeckers,7
Chautauqua,14.838709677419354,Wrens,5
Chautauqua,14.838709677419354,Larks,1
Chautauqua,14.838709677419354,Loons,1
Chemung,16.33986928104575,All,159
Chemung,16.33986928104575,Blackbirds and Orioles,7
Chemung,16.33986928104575,Cardinals and Buntings,4
Chemung,16.33986928104575,Chickadees and Titmice,2
Chemung,16.33986928104575,Creepers,1
Chemung,16.33986928104575,Crows and Jays,4
Chemung,16.33986928104575,Cuckoos,2
Chemung,16.33986928104575,"Ducks, Geese, Waterfowl",11
Chemung,16.33986928104575,Finches and Crossbills,4
Chemung,16.33986928104575,Flycatchers,8
Chemung,16.33986928104575,Gnatcatchers,1
Chemung,16.33986928104575,Grebes,1
Chemung,16.33986928104575,"Grouse, Pheasants, Turkeys",3
Chemung,16.33986928104575,"Gulls, Terns, Plovers, Shorebirds",7
Chemung,16.33986928104575,"Hawks, Falcons, Eagles, Vultures",12
Chemung,16.33986928104575,"Herons, Bitterns, Egrets, Pelicans",4
Chemung,16.33986928104575,Hummingbirds and Swifts,2
Chemung,16.33986928104575,Kingfishers,1
Chemung,16.33986928104575,Kinglets,1
Chemung,16.33986928104575,Mockingbirds and Thrashers,3
Chemung,16.33986928104575,Nightbirds,1
Chemung,16.33986928104575,Nuthatches,2
Chemung,16.33986928104575,Old World Sparrows,1
Chemung,16.33986928104575,Owls,7
Chemung,16.33986928104575,Pigeons and Doves,2
Chemung,16.33986928104575,"Rails, Coots and Cranes",4
Chemung,16.33986928104575,Sparrows and Towhees,11
Chemung,16.33986928104575,Starlings,1
Chemung,16.33986928104575,Swallows,6
Chemung,16.33986928104575,Thrushes and Bluebirds,5
Chemung,16.33986928104575,Vireos,4
Chemung,16.33986928104575,Waxwings,1
Chemung,16.33986928104575,Wood-Warblers,24
Chemung,16.33986928104575,Woodpeckers,7
Chemung,16.33986928104575,Wrens,4
Chemung,16.33986928104575,Larks,1
Chenango,15.333333333333332,All,157
Chenango,15.333333333333332,Blackbirds and Orioles,7
Chenango,15.333333333333332,Cardinals and Buntings,4
Chenango,15.333333333333332,Chickadees and Titmice,2
Chenango,15.333333333333332,Cormorants,1
Chenango,15.333333333333332,Creepers,1
Chenango,15.333333333333332,Crows and Jays,4
Chenango,15.333333333333332,Cuckoos,2
Chenango,15.333333333333332,"Ducks, Geese, Waterfowl",9
Chenango,15.333333333333332,Finches and Crossbills,7
Chenango,15.333333333333332,Flycatchers,8
Chenango,15.333333333333332,Gnatcatchers,1
Chenango,15.333333333333332,Grebes,1
Chenango,15.333333333333332,"Grouse, Pheasants, Turkeys",4
Chenango,15.333333333333332,"Gulls, Terns, Plovers, Shorebirds",4
Chenango,15.333333333333332,"Hawks, Falcons, Eagles, Vultures",11
Chenango,15.333333333333332,"Herons, Bitterns, Egrets, Pelicans",4
Chenango,15.333333333333332,Hummingbirds and Swifts,2
Chenango,15.333333333333332,Kingfishers,1
Chenango,15.333333333333332,Kinglets,2
Chenango,15.333333333333332,Mockingbirds and Thrashers,3
Chenango,15.333333333333332,Nightbirds,2
Chenango,15.333333333333332,Nuthatches,2
Chenango,15.333333333333332,Old World Sparrows,1
Chenango,15.333333333333332,Owls,4
Chenango,15.333333333333332,Pigeons and Doves,2
