long,lat,group,order,region,County,Species
-75.93982696533203,43.1781005859375,1832,54052,new york,oswego,179
-75.97993469238281,43.18383026123047,1832,54053,new york,oswego,179
-76.00285339355469,43.18383026123047,1832,54054,new york,oswego,179
-74.77098846435547,42.862972259521484,1833,54056,new york,otsego,160
-74.656402587890625,42.82859420776367,1833,54057,new york,otsego,160
-74.66786193847656,42.794219970703125,1833,54058,new york,otsego,160
-74.66786193847656,42.77130126953125,1833,54059,new york,otsego,160
-74.63348388671875,42.662437438964844,1833,54060,new york,otsego,160
-74.63348388671875,42.62805938720703,1833,54061,new york,otsego,160
-74.71369934082031,42.513465881347656,1833,54062,new york,otsego,160
-74.75953674316406,42.513465881347656,1833,54063,new york,otsego,160
-74.77671813964844,42.50774002075195,1833,54064,new york,otsego,160
-74.834014892578125,42.513465881347656,1833,54065,new york,otsego,160
-74.931427001953125,42.47336196899414,1833,54066,new york,otsego,160
-74.93714904785156,42.48482131958008,1833,54067,new york,otsego,160
-74.96006774902344,42.47336196899414,1833,54068,new york,otsego,160
-74.98298645019531,42.450443267822266,1833,54069,new york,otsego,160
-75.00017547607422,42.4447135925293,1833,54070,new york,otsego,160
-75.01163482666016,42.456172943115234,1833,54071,new york,otsego,160
-75.017364501953125,42.43898391723633,1833,54072,new york,otsego,160
-75.057464599609375,42.43898391723633,1833,54073,new york,otsego,160
-75.109039306640625,42.410335540771484,1833,54074,new york,otsego,160
-75.109039306640625,42.40460968017578,1833,54075,new york,otsego,160
-75.12622833251953,42.38741683959961,1833,54076,new york,otsego,160
-75.1434097290039,42.39314651489258,1833,54077,new york,otsego,160
-75.18924713134766,42.3702278137207,1833,54078,new york,otsego,160
-75.194976806640625,42.37595748901367,1833,54079,new york,otsego,160
-75.25228118896484,42.3530387878418,1833,54080,new york,otsego,160
-75.2981185913086,42.335853576660156,1833,54081,new york,otsego,160
-75.338226318359375,42.32439041137695,1833,54082,new york,otsego,160
-75.378326416015625,42.32439041137695,1833,54083,new york,otsego,160
-75.41270446777344,42.31293487548828,1833,54084,new york,otsego,160
-75.4012451171875,42.35877227783203,1833,54085,new york,otsego,160
-75.4012451171875,42.37595748901367,1833,54086,new york,otsego,160
-75.384063720703125,42.41606521606445,1833,54087,new york,otsego,160
-75.39551544189453,42.456172943115234,1833,54088,new york,otsego,160
-75.4012451171875,42.502010345458984,1833,54089,new york,otsego,160
-75.38978576660156,42.53065490722656,1833,54090,new york,otsego,160
-75.34967803955078,42.570762634277344,1833,54091,new york,otsego,160
-75.332489013671875,42.59941101074219,1833,54092,new york,otsego,160
-75.3267593383789,42.62232971191406,1833,54093,new york,otsego,160
